Description,Item Type,Janelia Part #,Manufacturer,Manufacturer Part #,Vendor,Vendor Part #,Quantity Per SubAssy
,,,,,,,
NP2 ARC SLIDER WIDE CARRIAGE,CUSTOM MACHINED,51018,,,,,1
NP2 ARC SLIDER COVER,CUSTOM MACHINED,51016,,,,,1
NP2 97355A439 AI,ALTERED ITEM,J009515,,,MCMASTER,97355A439,2
M3x18 SHCS SS,PURCHASED,,,,MCMASTER,91292A029,2
M5x10 SHCS SS LOW HEAD,PURCHASED,,,,MCMASTER,92855A510,2
M3x10 SHCS SS LOW HEAD,PURCHASED,,,,MCMASTER,92855A310,2
