Description,Item Type,Janelia Part #,Manufacturer,Manufacturer Part #,Vendor,Vendor Part #,Quantity Per SubAssy
,,,,,,,
NP2 MAINTENANCE PLATE,CUSTOM-MACHINED,J010036,,,,,1
NP2 97355A439 AI,ALTERED ITEM,J009515,,,MCMASTER,97355A439,2
1/4-20 x 1/2 SHCS SS,PURCHASED,,,,MCMASTER,92196A537,1
M5x14 SHCS SS ,PURCHASED,,,,MCMASTER,91292A058,2
"1"" DIA POST",PURCHASED,,,,THOR LABS,RS12,1
